CASA,FORA,GOLS_CASA,GOLS_FORA,TEMPORADA
Villarreal,Oviedo,2,0,2526
Mallorca,Barcelona,0,3,2526
Alaves,Levante,2,1,2526
Valencia,Sociedad,1,1,2526
Celta,Getafe,0,2,2526
Ath Bilbao,Sevilla,3,2,2526
Espanol,Ath Madrid,2,1,2526
Elche,Betis,1,1,2526
Real Madrid,Osasuna,1,0,2526
Betis,Alaves,1,0,2526
Mallorca,Celta,1,1,2526
Ath Madrid,Elche,1,1,2526
Levante,Barcelona,2,3,2526
Osasuna,Valencia,1,0,2526
Sociedad,Espanol,2,2,2526
Villarreal,Girona,5,0,2526
Oviedo,Real Madrid,0,3,2526
Ath Bilbao,Vallecano,1,0,2526
Sevilla,Getafe,1,2,2526
Celta,Betis,1,1,2526
Elche,Levante,2,0,2526
Valencia,Getafe,3,0,2526
Alaves,Ath Madrid,1,1,2526
Oviedo,Sociedad,1,0,2526
Girona,Sevilla,0,2,2526
Real Madrid,Mallorca,2,1,2526
Celta,Villarreal,1,1,2526
Betis,Ath Bilbao,1,2,2526
Espanol,Osasuna,1,0,2526
Vallecano,Barcelona,1,1,2526
Sevilla,Elche,2,2,2526
Getafe,Oviedo,2,0,2526
Sociedad,Real Madrid,1,2,2526
Ath Bilbao,Alaves,0,1,2526
Ath Madrid,Villarreal,2,0,2526
Celta,Girona,1,1,2526
Levante,Betis,2,2,2526
Osasuna,Vallecano,2,0,2526
Barcelona,Valencia,6,0,2526
Espanol,Mallorca,3,2,2526
Betis,Sociedad,3,1,2526
Girona,Levante,0,4,2526
Real Madrid,Espanol,2,0,2526
Alaves,Sevilla,1,2,2526
Villarreal,Osasuna,2,1,2526
Valencia,Ath Bilbao,2,0,2526
Vallecano,Celta,1,1,2526
Mallorca,Ath Madrid,1,1,2526
Elche,Oviedo,1,0,2526
Barcelona,Getafe,3,0,2526
Ath Bilbao,Girona,1,1,2526
Espanol,Valencia,2,2,2526
Levante,Real Madrid,1,4,2526
Sevilla,Villarreal,1,2,2526
Getafe,Alaves,1,1,2526
Ath Madrid,Vallecano,3,2,2526
Sociedad,Mallorca,1,0,2526
Osasuna,Elche,1,1,2526
Oviedo,Barcelona,1,3,2526
Girona,Espanol,0,0,2526
Getafe,Levante,1,1,2526
Ath Madrid,Real Madrid,5,2,2526
Mallorca,Alaves,1,0,2526
Villarreal,Ath Bilbao,1,0,2526
Vallecano,Sevilla,0,1,2526
Elche,Celta,2,1,2526
Barcelona,Sociedad,2,1,2526
Betis,Osasuna,2,0,2526
Valencia,Oviedo,1,2,2526
Osasuna,Getafe,2,1,2526
Oviedo,Levante,0,2,2526
Girona,Valencia,2,1,2526
Ath Bilbao,Mallorca,2,1,2526
Real Madrid,Villarreal,3,1,2526
Alaves,Elche,3,1,2526
Sevilla,Barcelona,4,1,2526
Espanol,Betis,1,2,2526
Sociedad,Vallecano,0,1,2526
Celta,Ath Madrid,1,1,2526
Oviedo,Espanol,0,2,2526
Sevilla,Mallorca,1,3,2526
Barcelona,Girona,2,1,2526
Villarreal,Betis,2,2,2526
Ath Madrid,Osasuna,1,0,2526
Elche,Ath Bilbao,0,0,2526
Celta,Sociedad,1,1,2526
Levante,Vallecano,0,3,2526
Getafe,Real Madrid,0,1,2526
Alaves,Valencia,0,0,2526
Sociedad,Sevilla,2,1,2526
Girona,Oviedo,3,3,2526
Espanol,Elche,1,0,2526
Ath Bilbao,Getafe,0,1,2526
Valencia,Villarreal,0,2,2526
Mallorca,Levante,1,1,2526
Real Madrid,Barcelona,2,1,2526
Osasuna,Celta,2,3,2526
Vallecano,Alaves,1,0,2526
Betis,Ath Madrid,0,2,2526
Getafe,Girona,2,1,2526
Villarreal,Vallecano,4,0,2526
Ath Madrid,Sevilla,3,0,2526
Sociedad,Ath Bilbao,3,2,2526
Real Madrid,Valencia,4,0,2526
Levante,Celta,1,2,2526
Alaves,Espanol,2,1,2526
Barcelona,Elche,3,1,2526
Betis,Mallorca,3,0,2526
Oviedo,Osasuna,0,0,2526
Elche,Sociedad,1,1,2526
Girona,Alaves,1,0,2526
Sevilla,Osasuna,1,0,2526
Ath Madrid,Levante,3,1,2526
Espanol,Villarreal,0,2,2526
Ath Bilbao,Oviedo,1,0,2526
Vallecano,Real Madrid,0,0,2526
Mallorca,Getafe,1,0,2526
